Title,Flavor,Effect,Level
Instrument of Murder,Insert Dueling Banjos here.,You have a musical instrument of your choice for minutes equal to this cypher's level. You are proficient in all uses with the instrument and it deals 4 damage.,1d10
Fight Magnet,A lot of people want to kill me… I take great pride in that.,Use this cypher to provoke a fight from any NPC. Affects one or more NPC up to this cypher's level.,1d6
Mistaken for Badass,No! You must have some secret knowledge!,Luck is in your favor. Treat one crit fail as if you rolled a 20 and gain a free asset on your next intimidation check.,1d1
Powder Trail,"I have said zat zis is ze kvick fuse, und zis is ze kvick fuse!",For some reason there are explosives in this room and you just lit the fuse! You have a number of rounds equal to the cypher's level to escape.,1d8
My Name is Inigo Montoya,You killed my father. Prepare to die.,The target NPC says their name and their goal so that you can clearly hear it. The cypher's level determines how much information you receive.,1d10
Violence is the Only Option,I don't even call it violence when it's in self defense; I call it intelligence.,Use this cypher if you failed a social encounter. You resort to violence and succeed the social encounter. Cypher level determines damage.,1d6
Just Between You and Me,Since you are about to die anyway I may as well tell you the entire plot.,Forces a monologue from a reputable villain. The cypher's level determines how much information you receive or how many rounds they are preoccupied by talking at you.,1d10
Wasn't That Fun?,Let's go again! Let's go again!,Use this cypher to transport you and your party to a safe location nearby. It won't stay safe forever; cypher level determines how long you're safe.,1d8
Saw It In A Movie Once,I learned this trick from watching Excel Saga!,Call upon a skill that you have witnessed and replicate it. The level of the cypher is added to your d20 roll.,1d10
Education Through Pyrotechnics,That's it. Class dismissed.,A flashy countdown determined by the user creates an explosion that deals cypher level damage and ignores armor.,1d10
Bottled Heroic Resolve,Strong schtuff. Close hyu vounds op FAST.,All allies recover as many pool points as the cypher's level.,1d10
Misfit Mobilization Moment,Pose as a team!,All allies gain two free assets to be used within a short time limit (minutes equal to this cypher's level).,1d10
Impressive Pyrotechnics,What an odd-sized explosion.,Create a Hollywood explosion that hits an immediate area and deals the cypher's level of damage.,1d10
Exploding Fish Tanks,Fell right through the fish tank. It… exploded.,All large breakable objects in an area shatter. Range equals cypher's level of feet.,1d10
Aloof Ally,Don't expect me to join in on your group hugs and picnics!,An unexpected ally appears to help out for the scene. The cypher's level will determine the NPC's effective level.,1d6
Outrun the Fireball,A fight scene has broken out at the special effects warehouse!,Automatically succeed a dodge attempt. Avoid all blast/splash damage if applicable.,1d1
Rooftop Confrontation,Exquisite.,Automatically succeed any balance or acrobatics checks equal to or lower than the cypher's level for the rest of the scene.,1d6
Nonviolent Initial Confrontation,The First Check scene.,You can ask someone a cypher's level number of questions of which they must answer truthfully.,1d4
